0101JAMMU & KASHMIR               Kupwara 01
3327TAMIL NADU                    Ramanathapuram 27
3328TAMIL NADU                    Thoothukkudi 28
3329TAMIL NADU                    Tirunelveli 29
3330TAMIL NADU                    Kanniyakumari 30
3331TAMIL NADU                    Krishnagiri
3401PONDICHERRY                   Yanam 01
3402PONDICHERRY                   Pondicherry 02
3403PONDICHERRY                   Mahe 03
3404PONDICHERRY                   Karaikal 04
3501ANDAMAN & NICOBAR ISLAN       Andamans 01
3502ANDAMAN & NICOBAR ISLAN       Nicobars 02

